Crop,State,Season,Quantity (kg),Price per kg (₹),Total Value (₹)
Soybean,Maharashtra,Rabi,858,27.66,23734.12
Soybean,Gujarat,Kharif,2098,23.36,49015.38
Rice,Punjab,Rabi,1024,27.02,27665.99
Rice,Karnataka,Rabi,4543,27.34,124222.11
Cotton,Punjab,Kharif,2608,22.97,59899.54
Soybean,Karnataka,Kharif,4876,16.17,78854.97
Cotton,Punjab,Kharif,2729,30.35,82828.72
Maize,Gujarat,Rabi,2490,29.76,74097.09
Wheat,Karnataka,Kharif,4763,23.79,113321.91
Cotton,Gujarat,Kharif,1146,27.89,31956.45
Soybean,Maharashtra,Rabi,3352,17.46,58514.85
Wheat,Maharashtra,Kharif,4028,16.28,65584.89
Cotton,Tamil Nadu,Kharif,1988,18.2,36172.43
Soybean,Maharashtra,Rabi,4644,28.89,134163.93
Soybean,Punjab,Kharif,722,30.56,22066.16
Cotton,Punjab,Rabi,3003,25.36,76152.95
Rice,Gujarat,Rabi,1668,21.97,36640.09
Cotton,Maharashtra,Kharif,1961,23.9,46861.86
Wheat,Karnataka,Rabi,799,28.6,22848.09
Maize,Punjab,Rabi,2351,15.27,35898.63
Wheat,Maharashtra,Rabi,1692,28.37,48000.21
Maize,Karnataka,Kharif,4749,27.34,129849.29
Maize,Gujarat,Kharif,3539,15.57,55087.4
Soybean,Punjab,Rabi,2295,26.42,60642.09
Wheat,Karnataka,Kharif,3503,16.83,58948.72
Soybean,Punjab,Rabi,4830,25.04,120957.58
Cotton,Tamil Nadu,Kharif,4031,28.93,116611.72
Rice,Gujarat,Kharif,3537,17.42,61630.67
Wheat,Maharashtra,Kharif,984,15.79,15532.78
Soybean,Karnataka,Rabi,3697,18.14,67058.5
Maize,Maharashtra,Rabi,2239,16.72,37434.72
Maize,Tamil Nadu,Rabi,3925,32.29,126727.22
Soybean,Punjab,Rabi,4713,26.84,126477.19
Wheat,Gujarat,Kharif,3484,31.33,109164.46
Cotton,Punjab,Kharif,1972,24.0,47336.23
Soybean,Tamil Nadu,Kharif,4102,32.36,132738.58
Wheat,Karnataka,Rabi,4133,26.5,109508.61
Maize,Tamil Nadu,Rabi,2273,22.66,51515.07
Maize,Maharashtra,Kharif,976,21.99,21460.3
Cotton,Maharashtra,Rabi,2087,32.4,67628.86
Cotton,Punjab,Rabi,3381,17.69,59805.71
Cotton,Karnataka,Kharif,3488,30.9,107792.47
Soybean,Maharashtra,Kharif,2468,28.34,69939.32
Soybean,Gujarat,Kharif,2795,32.91,91988.46
Rice,Punjab,Kharif,3610,27.46,99119.47
Rice,Karnataka,Rabi,4443,23.25,103280.27
Cotton,Punjab,Kharif,1176,16.33,19201.76
Maize,Punjab,Kharif,1696,22.64,38392.93
Soybean,Punjab,Rabi,3805,24.45,93019.19
Rice,Punjab,Rabi,4591,21.87,100415.31
Soybean,Gujarat,Kharif,1180,33.67,39731.84
Maize,Punjab,Kharif,3277,21.77,71346.09
Maize,Punjab,Rabi,1187,20.14,23903.54
Cotton,Punjab,Rabi,2484,31.01,77021.75
Wheat,Maharashtra,Rabi,3817,30.25,115463.18
Maize,Maharashtra,Rabi,556,24.92,13856.48
Soybean,Punjab,Kharif,3696,33.65,124383.03
Maize,Maharashtra,Rabi,2949,25.71,75813.99
Cotton,Punjab,Kharif,514,19.01,9773.29
Soybean,Maharashtra,Rabi,1817,34.86,63338.88
Wheat,Maharashtra,Kharif,1433,20.89,29928.96
Rice,Tamil Nadu,Rabi,4416,28.06,123923.54
Cotton,Maharashtra,Kharif,3961,16.46,65204.28
Rice,Punjab,Rabi,1394,34.6,48237.77
Maize,Karnataka,Kharif,1908,34.9,66585.01
Cotton,Gujarat,Rabi,4926,20.4,100481.47
Wheat,Gujarat,Kharif,2365,26.82,63441.01
Cotton,Tamil Nadu,Kharif,4148,22.48,93226.58
Soybean,Gujarat,Rabi,4116,19.32,79504.1
Soybean,Tamil Nadu,Rabi,4599,28.87,132774.66
Wheat,Maharashtra,Rabi,3672,16.22,59542.59
Soybean,Karnataka,Kharif,3603,31.28,112714.39
Maize,Punjab,Rabi,3540,15.47,54770.27
Rice,Gujarat,Rabi,3638,31.17,113413.0
Cotton,Punjab,Rabi,2622,18.84,49397.08
Wheat,Maharashtra,Kharif,4081,30.42,124135.97
Soybean,Karnataka,Kharif,3362,16.32,54860.41
Maize,Tamil Nadu,Kharif,1633,27.32,44611.54
Rice,Gujarat,Rabi,3046,29.47,89756.23
Wheat,Tamil Nadu,Kharif,3231,26.72,86330.07
Wheat,Maharashtra,Kharif,4867,33.0,160615.2
Maize,Tamil Nadu,Kharif,809,29.31,23710.31
Rice,Maharashtra,Kharif,1734,18.31,31742.7
Maize,Punjab,Rabi,1741,23.54,40981.68
Rice,Gujarat,Rabi,2932,28.39,83237.83
Rice,Karnataka,Kharif,1268,33.31,42237.56
Rice,Punjab,Rabi,783,31.56,24711.64
Cotton,Gujarat,Kharif,3980,20.55,81790.39
Rice,Tamil Nadu,Kharif,618,15.42,9531.41
Maize,Tamil Nadu,Kharif,4372,32.98,144204.14
Wheat,Punjab,Rabi,2143,21.89,46902.67
Maize,Tamil Nadu,Kharif,2394,23.59,56468.94
Maize,Maharashtra,Kharif,4051,22.37,90626.64
Wheat,Gujarat,Kharif,1986,30.13,59847.95
Cotton,Tamil Nadu,Rabi,2100,24.84,52168.64
Rice,Maharashtra,Rabi,2994,19.6,58672.83
Maize,Punjab,Rabi,1957,19.73,38606.92
Maize,Karnataka,Rabi,4589,26.57,121931.74
Maize,Gujarat,Rabi,2250,33.34,75017.65
Soybean,Gujarat,Kharif,2350,16.5,38783.86
Wheat,Tamil Nadu,Rabi,1522,22.51,34256.43
Maize,Gujarat,Kharif,848,21.04,17841.76
Rice,Tamil Nadu,Kharif,2999,25.97,77873.44
Wheat,Punjab,Rabi,4228,33.82,142978.3
Maize,Gujarat,Rabi,2193,19.87,43568.91
Soybean,Maharashtra,Rabi,547,28.44,15555.6
Cotton,Karnataka,Rabi,2726,18.63,50790.2
Wheat,Punjab,Kharif,1299,19.32,25101.75
Soybean,Karnataka,Kharif,1656,17.98,29775.71
Cotton,Karnataka,Kharif,1083,32.99,35729.67
Cotton,Tamil Nadu,Rabi,1633,25.36,41416.22
Soybean,Gujarat,Rabi,4921,34.83,171377.89
Maize,Gujarat,Rabi,3539,22.67,80232.37
Cotton,Karnataka,Rabi,4339,18.99,82383.68
Maize,Maharashtra,Kharif,3843,25.1,96454.46
Cotton,Gujarat,Rabi,3338,20.72,69166.85
Cotton,Tamil Nadu,Rabi,3188,31.28,99709.27
Wheat,Gujarat,Rabi,3074,25.5,78375.1
Soybean,Maharashtra,Kharif,3226,15.6,50310.03
Wheat,Karnataka,Kharif,4497,21.09,94844.52
Maize,Tamil Nadu,Kharif,1881,24.06,45249.21
Soybean,Gujarat,Rabi,4417,34.62,152908.29
Soybean,Maharashtra,Rabi,3975,29.25,116286.08
Wheat,Punjab,Rabi,1388,27.47,38123.49
Maize,Tamil Nadu,Kharif,1034,21.46,22187.52
Maize,Maharashtra,Rabi,4724,22.15,104655.96
Cotton,Punjab,Kharif,3788,18.59,70432.26
Rice,Maharashtra,Kharif,1529,26.94,41187.32
Wheat,Punjab,Rabi,4142,28.33,117338.35
Rice,Tamil Nadu,Kharif,1737,24.47,42497.04
Maize,Maharashtra,Rabi,4441,22.05,97908.06
Wheat,Karnataka,Rabi,2664,25.63,68278.58
Soybean,Gujarat,Kharif,651,32.5,21156.88
Wheat,Punjab,Kharif,3271,24.39,79766.45
Rice,Karnataka,Rabi,4125,25.33,104474.77
Soybean,Punjab,Kharif,1961,16.03,31440.11
Maize,Tamil Nadu,Kharif,1891,25.7,48601.38
Wheat,Tamil Nadu,Rabi,1243,24.94,31001.96
Soybean,Karnataka,Rabi,3771,28.29,106674.12
Maize,Maharashtra,Kharif,2000,16.3,32599.42
Cotton,Maharashtra,Kharif,3134,16.99,53255.31
Rice,Karnataka,Rabi,3903,27.79,108458.63
Rice,Gujarat,Kharif,1103,20.27,22355.2
Maize,Gujarat,Kharif,1035,19.63,20314.43
Rice,Tamil Nadu,Kharif,2334,27.33,63780.91
Cotton,Maharashtra,Rabi,4584,25.51,116916.42
Rice,Karnataka,Rabi,714,34.06,24319.05
Wheat,Tamil Nadu,Rabi,1412,20.24,28580.97
Maize,Maharashtra,Kharif,1558,19.43,30270.48
Maize,Maharashtra,Kharif,1113,25.12,27957.12
Maize,Gujarat,Kharif,1221,20.25,24722.33
Maize,Tamil Nadu,Rabi,3772,18.62,70249.6
Maize,Karnataka,Kharif,3597,19.16,68915.48
Wheat,Gujarat,Kharif,1216,20.77,25261.4
Cotton,Karnataka,Rabi,762,19.07,14529.37
Cotton,Maharashtra,Kharif,3313,18.21,60317.32
Rice,Maharashtra,Rabi,1401,33.0,46229.41
Cotton,Gujarat,Kharif,889,18.23,16202.23
Soybean,Karnataka,Rabi,2699,26.58,71741.59
Rice,Maharashtra,Kharif,1064,24.71,26291.73
Rice,Karnataka,Rabi,3723,31.01,115460.08
Wheat,Karnataka,Kharif,4227,25.25,106740.47
Rice,Gujarat,Kharif,2846,19.04,54178.3
Wheat,Punjab,Kharif,4818,21.61,104113.67
Cotton,Punjab,Kharif,792,18.53,14677.14
Maize,Gujarat,Kharif,1206,33.04,39850.55
Wheat,Punjab,Rabi,1241,21.91,27188.16
Cotton,Tamil Nadu,Rabi,3491,24.14,84275.2
Maize,Tamil Nadu,Kharif,3267,22.52,73557.77
Wheat,Tamil Nadu,Rabi,4243,25.38,107682.9
Soybean,Karnataka,Kharif,3937,23.95,94281.31
Maize,Maharashtra,Kharif,1466,25.52,37417.34
Rice,Punjab,Kharif,659,26.32,17347.87
Rice,Tamil Nadu,Rabi,1485,19.03,28263.33
Wheat,Karnataka,Kharif,2130,34.11,72663.09
Rice,Karnataka,Rabi,893,28.1,25092.81
Maize,Punjab,Kharif,3967,25.93,102878.92
Cotton,Maharashtra,Rabi,2937,16.72,49102.32
Wheat,Tamil Nadu,Rabi,609,16.88,10280.4
Wheat,Gujarat,Kharif,2702,21.86,59068.37
Soybean,Tamil Nadu,Kharif,2954,21.84,64526.46
Wheat,Punjab,Kharif,3193,15.96,50971.52
Maize,Karnataka,Kharif,4246,23.46,99610.98
Wheat,Maharashtra,Kharif,1315,20.52,26977.88
Rice,Gujarat,Rabi,1330,34.32,45642.08
Cotton,Gujarat,Kharif,2319,29.72,68930.55
Wheat,Gujarat,Kharif,4737,22.24,105338.28
Rice,Punjab,Kharif,4657,16.15,75218.69
Soybean,Maharashtra,Kharif,4862,34.34,166958.03
Maize,Maharashtra,Kharif,2315,29.89,69189.1
Cotton,Karnataka,Rabi,2949,20.78,61278.8
Soybean,Tamil Nadu,Kharif,2639,34.4,90772.12
Wheat,Tamil Nadu,Kharif,764,18.4,14057.35
Maize,Punjab,Rabi,682,22.46,15318.47
Wheat,Punjab,Kharif,3510,30.09,105627.83
Wheat,Punjab,Rabi,3712,21.28,79002.82
Rice,Gujarat,Kharif,1757,32.78,57599.62
Wheat,Punjab,Rabi,1670,33.03,55166.67
Wheat,Karnataka,Rabi,3008,21.57,64877.51
Soybean,Tamil Nadu,Rabi,1833,21.26,38975.8
Cotton,Tamil Nadu,Kharif,2770,27.66,76627.12
Cotton,Tamil Nadu,Rabi,922,25.71,23703.58
Cotton,Gujarat,Rabi,1720,33.31,57290.73
Soybean,Maharashtra,Kharif,3240,21.7,70292.04
Soybean,Gujarat,Rabi,1381,26.41,36468.29
Wheat,Maharashtra,Kharif,3553,17.2,61117.22
Soybean,Karnataka,Kharif,695,23.83,16559.11
Wheat,Gujarat,Kharif,2827,29.31,82864.27
Rice,Tamil Nadu,Rabi,1902,34.62,65848.53
Rice,Tamil Nadu,Kharif,3127,20.92,65403.06
Rice,Punjab,Rabi,4587,33.46,153496.78
Cotton,Karnataka,Kharif,1164,30.71,35750.48
Cotton,Karnataka,Kharif,2097,17.64,36999.6
Soybean,Maharashtra,Rabi,1152,23.96,27596.27
Cotton,Maharashtra,Kharif,3810,16.85,64192.69
Rice,Karnataka,Kharif,4636,19.7,91316.36
Maize,Maharashtra,Rabi,3565,18.93,67503.2
Wheat,Tamil Nadu,Kharif,3109,24.67,76708.13
Cotton,Gujarat,Rabi,1129,24.37,27514.14
Maize,Tamil Nadu,Kharif,3254,29.54,96116.01
Soybean,Karnataka,Kharif,2834,21.1,59790.27
Soybean,Gujarat,Kharif,1092,18.81,20538.76
Cotton,Tamil Nadu,Rabi,3447,32.98,113689.12
Soybean,Gujarat,Kharif,4054,15.18,61555.27
Wheat,Punjab,Rabi,2645,27.46,72624.52
Wheat,Tamil Nadu,Kharif,3433,23.4,80333.69
Cotton,Punjab,Kharif,1206,27.67,33374.69
Cotton,Gujarat,Kharif,998,20.61,20569.79
Cotton,Tamil Nadu,Rabi,2530,23.31,58977.31
Wheat,Punjab,Rabi,3471,34.85,120957.01
Wheat,Tamil Nadu,Kharif,1353,16.27,22018.42
Rice,Tamil Nadu,Rabi,1822,33.83,61642.01
Wheat,Gujarat,Kharif,866,31.82,27557.15
Wheat,Punjab,Rabi,4336,18.85,81746.33
Soybean,Punjab,Kharif,4341,18.73,81315.81
Rice,Punjab,Rabi,910,34.43,31329.01
Soybean,Tamil Nadu,Kharif,4735,30.18,142906.44
Maize,Maharashtra,Kharif,2607,29.23,76208.11
Rice,Karnataka,Rabi,548,26.32,14422.1
Soybean,Tamil Nadu,Rabi,2503,34.22,85661.47
Rice,Karnataka,Rabi,4825,24.4,117720.63
Wheat,Punjab,Kharif,1153,21.16,24400.78
Soybean,Karnataka,Rabi,3135,31.3,98134.49
Maize,Gujarat,Kharif,3208,20.19,64756.99
Wheat,Maharashtra,Rabi,4587,19.06,87414.65
Soybean,Gujarat,Kharif,4654,23.4,108890.67
Rice,Maharashtra,Kharif,688,23.97,16488.3
Maize,Punjab,Kharif,3743,24.33,91071.85
Maize,Gujarat,Kharif,2569,34.8,89398.56
Rice,Punjab,Rabi,1971,31.34,61777.62
Cotton,Karnataka,Kharif,3541,23.31,82554.82
Cotton,Karnataka,Kharif,4776,29.34,140105.36
Cotton,Tamil Nadu,Rabi,2939,15.76,46321.25
Wheat,Maharashtra,Rabi,2826,21.85,61743.36
Soybean,Punjab,Rabi,2129,25.59,54471.27
Rice,Tamil Nadu,Rabi,1822,29.36,53487.94
Wheat,Punjab,Rabi,4701,26.18,123080.22
Soybean,Tamil Nadu,Kharif,2789,17.81,49683.07
Maize,Tamil Nadu,Kharif,519,34.07,17683.6
Wheat,Tamil Nadu,Kharif,4281,19.22,82300.97
Cotton,Maharashtra,Rabi,4851,20.94,101556.94
Cotton,Punjab,Kharif,930,26.64,24778.27
Rice,Punjab,Kharif,1109,33.12,36730.87
Rice,Gujarat,Rabi,2406,27.24,65529.24
Maize,Karnataka,Rabi,3070,30.43,93429.98
Maize,Gujarat,Rabi,1914,22.23,42548.34
Maize,Gujarat,Rabi,2121,25.88,54884.82
Soybean,Punjab,Kharif,3516,23.62,83032.86
Cotton,Punjab,Kharif,3579,21.93,78498.66
Wheat,Punjab,Kharif,1683,22.27,37484.39
Maize,Karnataka,Rabi,4673,27.16,126911.17
Maize,Karnataka,Rabi,801,30.02,24044.4
Soybean,Maharashtra,Kharif,3020,25.67,77511.87
Soybean,Punjab,Kharif,4402,19.51,85878.62
Rice,Maharashtra,Kharif,1956,25.05,48994.25
Cotton,Maharashtra,Kharif,1590,23.31,37060.48
Rice,Maharashtra,Kharif,4407,15.04,66297.07
Cotton,Karnataka,Rabi,4749,24.39,115824.93
Soybean,Gujarat,Kharif,3594,26.81,96342.73
Soybean,Punjab,Rabi,3124,23.53,73497.18
Wheat,Tamil Nadu,Rabi,2412,25.63,61808.04
Wheat,Punjab,Kharif,1868,18.67,34866.81
Rice,Maharashtra,Rabi,2564,20.88,53526.74
Soybean,Maharashtra,Rabi,618,20.4,12604.4
Cotton,Tamil Nadu,Rabi,902,26.59,23982.27
Rice,Punjab,Rabi,868,29.46,25568.48
Soybean,Karnataka,Rabi,2371,17.79,42178.55
Soybean,Tamil Nadu,Kharif,1925,25.75,49577.78
Soybean,Punjab,Rabi,4246,20.61,87515.79
Wheat,Tamil Nadu,Kharif,3768,22.68,85472.78
Soybean,Maharashtra,Rabi,2477,22.97,56891.41
Soybean,Punjab,Kharif,2300,30.77,70781.13
Cotton,Maharashtra,Rabi,4581,28.69,131432.58
Rice,Maharashtra,Rabi,4285,33.58,143877.36
Maize,Karnataka,Rabi,4856,15.36,74591.32
Maize,Karnataka,Rabi,3525,22.32,78667.58
Wheat,Gujarat,Rabi,4340,17.31,75120.54
Soybean,Karnataka,Kharif,2210,31.43,69456.5
Rice,Maharashtra,Rabi,1947,34.6,67366.82
Rice,Maharashtra,Kharif,836,27.53,23011.34
Maize,Gujarat,Kharif,1532,20.94,32079.43
Soybean,Punjab,Kharif,2896,28.92,83745.66
Rice,Karnataka,Rabi,3167,26.44,83746.11
Maize,Gujarat,Kharif,4602,23.33,107342.07
Soybean,Maharashtra,Kharif,3560,20.4,72610.53
Maize,Karnataka,Kharif,3605,17.08,61578.45
Soybean,Karnataka,Kharif,1297,15.03,19499.49
Soybean,Tamil Nadu,Rabi,3801,20.13,76515.3
Cotton,Punjab,Kharif,4839,24.59,118990.71
Soybean,Karnataka,Kharif,1783,30.95,55183.5
Maize,Gujarat,Rabi,1421,27.82,39530.29
Wheat,Tamil Nadu,Rabi,4352,15.46,67276.31
Wheat,Karnataka,Kharif,2471,27.05,66830.81
Cotton,Gujarat,Rabi,3612,20.54,74193.08
Maize,Maharashtra,Kharif,821,28.32,23246.79
Maize,Gujarat,Kharif,4340,33.4,144974.06
Cotton,Tamil Nadu,Rabi,4751,30.52,145011.18
Cotton,Maharashtra,Rabi,1640,27.85,45671.91
Cotton,Gujarat,Rabi,3645,27.7,100972.47
Rice,Punjab,Kharif,3502,24.47,85685.92
Soybean,Tamil Nadu,Kharif,4604,16.0,73673.44
Rice,Tamil Nadu,Kharif,4458,18.37,81874.96
Maize,Karnataka,Kharif,2542,17.67,44905.29
Wheat,Punjab,Kharif,4607,20.45,94209.2
Cotton,Karnataka,Kharif,2025,25.57,51786.18
Soybean,Punjab,Kharif,1825,33.85,61771.57
Maize,Punjab,Kharif,1117,21.37,23875.15
Rice,Maharashtra,Kharif,1989,15.03,29893.2
Rice,Maharashtra,Rabi,3387,32.9,111417.3
Wheat,Punjab,Kharif,2564,16.42,42096.69
Cotton,Gujarat,Kharif,4008,31.4,125859.07
Cotton,Gujarat,Kharif,971,29.26,28411.34
Wheat,Gujarat,Kharif,2733,17.18,46957.46
Maize,Tamil Nadu,Rabi,3238,19.13,61928.16
Wheat,Punjab,Kharif,3177,21.79,69212.8
Soybean,Karnataka,Rabi,3041,18.7,56870.83
Rice,Tamil Nadu,Rabi,2624,32.81,86098.95
Wheat,Punjab,Kharif,4698,22.7,106641.07
Wheat,Karnataka,Kharif,1403,32.19,45163.04
Soybean,Karnataka,Rabi,1673,25.51,42678.2
Soybean,Tamil Nadu,Rabi,4391,34.03,149445.69
Rice,Gujarat,Kharif,760,32.05,24354.83
Rice,Karnataka,Kharif,3678,29.36,107981.95
Rice,Punjab,Rabi,2644,31.85,84207.03
Maize,Gujarat,Kharif,1436,20.69,29714.72
Rice,Punjab,Kharif,4707,33.95,159823.28
Wheat,Karnataka,Kharif,2024,23.56,47683.95
Soybean,Punjab,Kharif,4918,19.97,98229.54
Rice,Karnataka,Kharif,2786,21.7,60458.49
Cotton,Maharashtra,Kharif,3438,31.15,107080.89
Maize,Tamil Nadu,Rabi,1032,20.3,20944.96
Maize,Karnataka,Kharif,1035,23.38,24193.5
Soybean,Punjab,Rabi,3210,31.23,100233.31
Rice,Tamil Nadu,Kharif,4927,23.87,117597.95
Soybean,Gujarat,Rabi,4293,32.6,139970.55
Maize,Tamil Nadu,Kharif,3808,17.57,66891.63
Maize,Punjab,Kharif,3320,29.91,99312.25
Cotton,Tamil Nadu,Kharif,4665,16.15,75324.98
Wheat,Tamil Nadu,Kharif,3272,31.39,102700.48
Wheat,Punjab,Rabi,4564,20.72,94545.97
Wheat,Maharashtra,Rabi,3428,32.43,111181.02
Soybean,Punjab,Rabi,2662,17.78,47329.42
Soybean,Gujarat,Rabi,2310,15.65,36143.98
Rice,Karnataka,Rabi,1403,17.37,24371.25
Cotton,Tamil Nadu,Kharif,3612,18.48,66754.66
Soybean,Gujarat,Kharif,1591,31.6,50268.74
Maize,Punjab,Kharif,2803,33.84,94842.16
Soybean,Maharashtra,Rabi,4245,29.55,125447.17
Wheat,Maharashtra,Rabi,4673,18.29,85478.5
Soybean,Karnataka,Kharif,1397,19.0,26540.33
Rice,Tamil Nadu,Kharif,2976,22.67,67471.2
Rice,Punjab,Rabi,4757,31.43,149519.08
Soybean,Punjab,Rabi,3371,34.49,116259.97
Wheat,Karnataka,Rabi,1176,30.19,35507.93
Maize,Maharashtra,Rabi,1686,25.9,43673.25
Maize,Tamil Nadu,Rabi,4370,26.81,117180.86
Rice,Karnataka,Rabi,2691,26.22,70546.37
Rice,Gujarat,Rabi,2643,31.21,82484.48
Soybean,Punjab,Rabi,3734,29.87,111535.18
Soybean,Punjab,Kharif,3183,20.69,65847.18
Soybean,Maharashtra,Kharif,1339,20.09,26894.12
Soybean,Maharashtra,Rabi,4983,32.76,163249.26
Cotton,Gujarat,Kharif,663,23.14,15339.48
Maize,Gujarat,Kharif,2305,29.95,69041.52
Maize,Karnataka,Rabi,1910,17.8,33991.45
Wheat,Gujarat,Kharif,4628,15.18,70270.55
Maize,Karnataka,Kharif,2763,30.16,83339.87
Cotton,Punjab,Rabi,2258,25.14,56776.04
Rice,Tamil Nadu,Rabi,4310,29.44,126884.32
Maize,Gujarat,Kharif,2752,20.14,55416.87
Soybean,Gujarat,Rabi,2051,30.36,62268.6
Cotton,Punjab,Rabi,2079,23.42,48699.84
Rice,Karnataka,Rabi,4177,21.74,90823.2
Soybean,Tamil Nadu,Kharif,1051,24.32,25562.93
Wheat,Gujarat,Rabi,4747,32.06,152168.27
Cotton,Karnataka,Rabi,2763,31.38,86709.32
Maize,Karnataka,Rabi,4685,21.05,98608.86
Rice,Karnataka,Kharif,1170,25.45,29774.04
Maize,Punjab,Rabi,953,16.12,15365.11
Wheat,Tamil Nadu,Kharif,4194,22.28,93458.63
Maize,Gujarat,Kharif,4553,34.48,156997.3
Wheat,Tamil Nadu,Rabi,847,26.61,22535.18
Soybean,Gujarat,Kharif,3395,27.09,91968.84
Rice,Karnataka,Kharif,2042,22.96,46876.19
Rice,Tamil Nadu,Rabi,2998,32.6,97744.02
Wheat,Tamil Nadu,Kharif,3788,30.83,116792.28
Maize,Maharashtra,Kharif,3252,19.51,63444.41
Rice,Tamil Nadu,Rabi,1078,18.85,20317.85
Maize,Punjab,Kharif,4582,30.2,138391.59
Cotton,Punjab,Kharif,2622,25.61,67148.7
Wheat,Gujarat,Kharif,4807,23.06,110865.44
Soybean,Tamil Nadu,Kharif,1199,26.12,31315.26
Cotton,Gujarat,Rabi,809,19.31,15621.84
Maize,Tamil Nadu,Rabi,1021,21.38,21826.2
Wheat,Gujarat,Kharif,4826,30.33,146393.32
Maize,Tamil Nadu,Kharif,734,33.71,24739.63
Wheat,Gujarat,Rabi,1457,32.04,46682.27
Cotton,Maharashtra,Rabi,2645,18.81,49753.7
Wheat,Punjab,Rabi,2328,28.77,66973.5
Cotton,Punjab,Kharif,2296,24.36,55939.49
Cotton,Punjab,Rabi,3996,33.96,135692.04
Wheat,Gujarat,Rabi,3334,25.07,83576.07
Rice,Gujarat,Kharif,4461,30.6,136488.85
Maize,Karnataka,Kharif,1463,33.2,48574.28
Rice,Karnataka,Rabi,3379,26.1,88195.0
Wheat,Gujarat,Rabi,1904,24.76,47134.72
Rice,Tamil Nadu,Rabi,3263,20.89,68167.92
Rice,Karnataka,Rabi,4001,18.5,74028.98
Rice,Karnataka,Kharif,2932,27.47,80548.5
Rice,Karnataka,Rabi,1051,17.61,18502.96
Soybean,Punjab,Kharif,1437,20.25,29094.48
Wheat,Karnataka,Rabi,1168,18.82,21979.62
Rice,Tamil Nadu,Kharif,4485,18.95,84988.52
Rice,Punjab,Kharif,1564,20.97,32802.29
Rice,Gujarat,Rabi,3800,33.13,125892.21
Maize,Tamil Nadu,Kharif,1963,24.73,48550.76
Maize,Punjab,Rabi,2228,31.86,70978.12
Wheat,Punjab,Kharif,4285,34.64,148425.96
Wheat,Tamil Nadu,Kharif,3132,32.19,100811.95
Rice,Karnataka,Kharif,1405,33.66,47296.3
Wheat,Maharashtra,Kharif,4328,31.62,136854.03
Rice,Karnataka,Kharif,3770,32.42,122212.16
Soybean,Karnataka,Kharif,4565,27.27,124506.43
Wheat,Karnataka,Rabi,4863,16.06,78082.14
Maize,Maharashtra,Kharif,1168,27.14,31700.45
Cotton,Punjab,Rabi,3885,20.65,80222.09
Maize,Karnataka,Kharif,2126,20.85,44324.01
Rice,Punjab,Rabi,4146,18.55,76913.8
Maize,Maharashtra,Kharif,4332,27.1,117405.09
Rice,Tamil Nadu,Kharif,884,33.38,29509.51
Soybean,Maharashtra,Rabi,4800,26.11,125317.68
Wheat,Tamil Nadu,Rabi,3663,15.86,58105.07
Rice,Karnataka,Kharif,2634,17.5,46102.54
Soybean,Gujarat,Kharif,1810,19.74,35732.38
Rice,Karnataka,Kharif,1389,25.3,35147.55
Wheat,Gujarat,Rabi,2861,28.81,82427.4
Cotton,Karnataka,Rabi,3805,24.16,91913.55
Cotton,Maharashtra,Rabi,1110,34.62,38430.38
Wheat,Maharashtra,Rabi,1359,34.02,46232.62
Cotton,Tamil Nadu,Kharif,2079,31.85,66212.99
Wheat,Maharashtra,Kharif,3536,22.21,78528.26
Soybean,Tamil Nadu,Kharif,790,33.2,26227.02
Wheat,Gujarat,Rabi,2939,17.61,51751.59
Wheat,Punjab,Rabi,609,23.54,14334.92
Rice,Karnataka,Kharif,903,32.66,29491.47
Cotton,Karnataka,Kharif,504,20.38,10273.65
Rice,Punjab,Rabi,2276,19.16,43614.39
Wheat,Punjab,Kharif,4394,28.03,123165.05
Soybean,Punjab,Rabi,2348,20.89,49055.67
Rice,Karnataka,Kharif,2303,31.11,71651.37
Maize,Tamil Nadu,Kharif,3355,22.68,76100.7
Wheat,Gujarat,Kharif,3991,27.92,111420.81
Maize,Gujarat,Rabi,2928,31.75,92970.87
Rice,Maharashtra,Kharif,1299,22.29,28956.26
Wheat,Punjab,Rabi,3747,33.91,127069.93
Cotton,Punjab,Rabi,3387,22.55,76378.07
Maize,Gujarat,Kharif,1667,27.17,45293.72
Rice,Maharashtra,Rabi,3178,32.57,103507.01
Cotton,Punjab,Kharif,1776,33.55,59576.87
Maize,Maharashtra,Rabi,3123,25.42,79399.39
Cotton,Tamil Nadu,Kharif,1029,21.4,22016.61
Rice,Punjab,Kharif,1865,25.93,48366.02
Rice,Punjab,Kharif,1327,28.9,38344.86
Rice,Tamil Nadu,Kharif,3037,34.67,105286.32
Soybean,Karnataka,Rabi,4226,15.5,65505.32
Soybean,Karnataka,Rabi,3566,24.52,87432.7
Maize,Tamil Nadu,Kharif,4400,16.99,74764.42
Soybean,Karnataka,Kharif,2151,34.59,74396.43
Wheat,Punjab,Rabi,3463,31.23,108164.21
Cotton,Karnataka,Rabi,895,34.64,31004.28
Cotton,Gujarat,Rabi,4491,28.64,128616.19
Cotton,Gujarat,Rabi,4668,25.03,116839.74
Soybean,Punjab,Kharif,1431,23.34,33393.62
Cotton,Tamil Nadu,Kharif,4917,17.4,85535.81
Wheat,Maharashtra,Kharif,2117,18.06,38235.22
Wheat,Tamil Nadu,Kharif,3713,24.54,91109.38
Soybean,Gujarat,Rabi,3827,24.87,95159.14
Maize,Tamil Nadu,Kharif,4062,31.16,126566.36
